zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,6,6,310,45,0,False,1.3540190464292017
94102,2017,11,6,7,310,45,0,False,1.3921304517331587
94102,2017,11,6,8,310,45,0,False,1.4313145740111295
94102,2017,11,6,9,310,45,0,False,1.4716016068940536
94102,2017,11,6,10,310,45,0,False,1.5130225938692365
94102,2017,11,6,11,310,45,0,False,1.5556094522011514
94102,2017,11,6,12,310,45,0,False,1.599394997525535
94102,2017,11,6,13,310,45,0,False,1.644412969135733
94102,2017,11,6,14,310,45,0,False,1.690698055980774
94102,2017,11,6,15,310,45,0,False,1.7382859233952113
94102,2017,11,6,16,310,45,0,False,1.787213240581323
94102,2017,11,6,17,310,45,0,False,1.837517708864853
94102,2017,11,6,18,310,45,0,False,1.8892380907460606
94102,2017,11,6,19,310,45,0,False,1.9424142397684678
94102,2017,11,6,20,310,45,0,False,1.9970871312283183
94102,2017,11,6,21,310,45,0,False,2.05329889374841
94102,2017,11,6,22,310,45,0,False,2.1110928417406356
94102,2017,11,6,23,310,45,0,False,2.1705135087822396
94102,2017,11,7,0,311,45,1,False,1.151751781271252
94102,2017,11,7,1,311,45,1,False,1.184169995078024
94102,2017,11,7,2,311,45,1,False,1.2175006803074677
94102,2017,11,7,3,311,45,1,False,1.2517695201789663
94102,2017,11,7,4,311,45,1,False,1.2870029208142761
94102,2017,11,7,5,311,45,1,False,1.3232280315849716
94102,2017,11,7,6,311,45,1,False,1.3604727660326041
94102,2017,11,7,7,311,45,1,False,1.398765823377699
94102,2017,11,7,8,311,45,1,False,1.4381367106341643
94102,2017,11,7,9,311,45,1,False,1.4786157653461498
94102,2017,11,7,10,311,45,1,False,1.520234178964879
94102,2017,11,7,11,311,45,1,False,1.563024020883464
94102,2017,11,7,12,311,45,1,False,1.6070182631482275
94102,2017,11,7,13,311,45,1,False,1.6522508058655692
94102,2017,11,7,14,311,45,1,False,1.6987565033239578
94102,2017,11,7,15,311,45,1,False,1.7465711908511743
94102,2017,11,7,16,311,45,1,False,1.795731712427504
94102,2017,11,7,17,311,45,1,False,1.8462759490761516
94102,2017,11,7,18,311,45,1,False,1.8982428480527593
94102,2017,11,7,19,311,45,1,False,1.9516724528565192
94102,2017,11,7,20,311,45,1,False,2.0066059340860036
94102,2017,11,7,21,311,45,1,False,2.0630856211634896
94102,2017,11,7,22,311,45,1,False,2.121155034952226
94102,2017,11,7,23,311,45,1,False,2.1808589212917746
94102,2017,11,8,0,312,45,2,False,1.1572414256515482
94102,2017,11,8,1,312,45,2,False,1.1898141557943374
94102,2017,11,8,2,312,45,2,False,1.2233037065118462
94102,2017,11,8,3,312,45,2,False,1.2577358834384973
94102,2017,11,8,4,312,45,2,False,1.2931372185566894
94102,2017,11,8,5,312,45,2,False,1.3295349906412215
94102,2017,11,8,6,312,45,2,False,1.3669572462791666
94102,2017,11,8,7,312,45,2,False,1.4054328214813876
94102,2017,11,8,8,312,45,2,False,1.4449913639023504
94102,2017,11,8,9,312,45,2,False,1.485663355685355
94102,2017,11,8,10,312,45,2,False,1.5274801369507889
94102,2017,11,8,11,312,45,2,False,1.5704739299455017
94102,2017,11,8,12,312,45,2,False,1.6146778638719073
94102,2017,11,8,13,312,45,2,False,1.6601260004159508
94102,2017,11,8,14,312,45,2,False,1.7068533599936047
94102,2017,11,8,15,312,45,2,False,1.7548959487361244
94102,2017,11,8,16,312,45,2,False,1.8042907862348536
94102,2017,11,8,17,312,45,2,False,1.855075934066958
94102,2017,11,8,18,312,45,2,False,1.9072905251240706
94102,2017,11,8,19,312,45,2,False,1.9609747937664477
94102,2017,11,8,20,312,45,2,False,2.0161701068258675
94102,2017,11,8,21,312,45,2,False,2.072918995481165
94102,2017,11,8,22,312,45,2,False,2.1312651880309645
94102,2017,11,8,23,312,45,2,False,2.19125364358886
94102,2017,11,9,0,313,45,3,False,1.1627572355615294
94102,2017,11,9,1,313,45,3,False,1.1954852185182383
94102,2017,11,9,2,313,45,3,False,1.2291343919312656
94102,2017,11,9,3,313,45,3,False,1.2637306844335474
94102,2017,11,9,4,313,45,3,False,1.299300754468018
94102,2017,11,9,5,313,45,3,False,1.3358720108294824
94102,2017,11,9,6,313,45,3,False,1.3734726337846754
94102,2017,11,9,7,313,45,3,False,1.4121315967867871
94102,2017,11,9,8,313,45,3,False,1.4518786888011825
94102,2017,11,9,9,313,45,3,False,1.4927445372595207
94102,2017,11,9,10,313,45,3,False,1.5347606316599625
94102,2017,11,9,11,313,45,3,False,1.577959347831647
94102,2017,11,9,12,313,45,3,False,1.6223739728821402
94102,2017,11,9,13,313,45,3,False,1.6680387308470759
94102,2017,11,9,14,313,45,3,False,1.714988809061751
94102,2017,11,9,15,313,45,3,False,1.7632603852750037
94102,2017,11,9,16,313,45,3,False,1.8128906555262583
94102,2017,11,9,17,313,45,3,False,1.8639178628072235
94102,2017,11,9,18,313,45,3,False,1.9163813265303282
94102,2017,11,9,19,313,45,3,False,1.9703214728266019
94102,2017,11,9,20,313,45,3,False,2.025779865696344
94102,2017,11,9,21,313,45,3,False,2.082799239036589
94102,2017,11,9,22,313,45,3,False,2.1414235295700434
94102,2017,11,9,23,313,45,3,False,2.2016979107008714
94102,2017,11,10,0,314,45,4,False,1.1682993357150915
94102,2017,11,10,1,314,45,4,False,1.2011833114739288
94102,2017,11,10,2,314,45,4,False,1.2349928683990394
94102,2017,11,10,3,314,45,4,False,1.269754058708125
94102,2017,11,10,4,314,45,4,False,1.3054936679074112
94102,2017,11,10,5,314,45,4,False,1.3422392354314279
94102,2017,11,10,6,314,45,4,False,1.3800190758637354
94102,2017,11,10,7,314,45,4,False,1.4188623007549483
94102,2017,11,10,8,314,45,4,False,1.4587988410548667
94102,2017,11,10,9,314,45,4,False,1.4998594701760035
94102,2017,11,10,10,314,45,4,False,1.5420758277062776
94102,2017,11,10,11,314,45,4,False,1.5854804437891443
94102,2017,11,10,12,314,45,4,False,1.630106764189952
94102,2017,11,10,13,314,45,4,False,1.6759891760678367
94102,2017,11,10,14,314,45,4,False,1.7231630344730153
94102,2017,11,10,15,314,45,4,False,1.7716646895898966
94102,2017,11,10,16,314,45,4,False,1.821531514746998
94102,2017,11,10,17,314,45,4,False,1.872801935215255
94102,2017,11,10,18,314,45,4,False,1.9255154578169147
94102,2017,11,10,19,314,45,4,False,1.979712701367825
94102,2017,11,10,20,314,45,4,False,2.0354354279765796
94102,2017,11,10,21,314,45,4,False,2.0927265752246362
94102,2017,11,10,22,314,45,4,False,2.1516302892522057
94102,2017,11,10,23,314,45,4,False,2.2121919587754038
94102,2017,11,11,0,315,45,5,True,1.1818689479098077
94102,2017,11,11,1,315,45,5,True,1.215134865851463
94102,2017,11,11,2,315,45,5,True,1.2493371154383974
94102,2017,11,11,3,315,45,5,True,1.284502051480705
94102,2017,11,11,4,315,45,5,True,1.3206567705940342
94102,2017,11,11,5,315,45,5,True,1.3578291320790954
94102,2017,11,11,6,315,45,5,True,1.3960477793888637
94102,2017,11,11,7,315,45,5,True,1.4353421622000144
94102,2017,11,11,8,315,45,5,True,1.4757425591056004
94102,2017,11,11,9,315,45,5,True,1.517280100946459
94102,2017,11,11,10,315,45,5,True,1.5599867947993233
